File Name,Version,Project,License,Comments
com.liferay.imageio.plugins.jar!imageio-thumbsdb.jar,3.3.2,TwelveMonkeys :: ImageIO :: Thumbs.db plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-tiff.jar,3.3.2,TwelveMonkeys :: ImageIO :: TIFF plugin,The BSD License,
com.liferay.knowledge.base.markdown.converter.impl.jar!asm-analysis.jar,4.1,ASM static code analysis framework,"The Apache Software License, Version 2.0",
com.liferay.knowledge.base.markdown.converter.impl.jar!asm-tree.jar,4.1,ASM Tree class visitor,"The Apache Software License, Version 2.0",
com.liferay.knowledge.base.markdown.converter.impl.jar!asm-util.jar,4.1,ASM Utilities,"The Apache Software License, Version 2.0",
com.liferay.knowledge.base.markdown.converter.impl.jar!asm.jar,4.1,ASM Core,"The Apache Software License, Version 2.0",
com.liferay.knowledge.base.markdown.converter.impl.jar!parboiled-core.jar,1.1.6,org.parboiled.core,Apache 2,
com.liferay.knowledge.base.markdown.converter.impl.jar!parboiled-java.jar,1.1.6,org.parboiled.java,Apache 2,
com.liferay.knowledge.base.markdown.converter.impl.jar!pegdown.jar,1.1.0,pegdown,"Apache License, Version 2.0",
com.liferay.knowledge.base.service.jar!jericho-html.jar,3.1,Jericho HTML Parser,GNU Lesser General Public License (LGPL),
com.liferay.marketplace.store.web.jar!scribe.jar,1.3.6,Scribe OAuth Library,MIT,
com.liferay.message.boards.service.jar!jericho-html.jar,3.1,Jericho HTML Parser,GNU Lesser General Public License (LGPL),
com.liferay.oauth2.provider.rest.jar!javax.annotation-api.jar,1.3,javax.annotation API,COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0,
com.liferay.petra.doulos.jar!commons-lang3.jar,3.4,Apache Commons Lang,"Apache License, Version 2.0",
com.liferay.petra.doulos.jar!concurrentlinkedhashmap-lru.jar,1.4.2,ConcurrentLinkedHashMap,"The Apache Software License, Version 2.0",
com.liferay.petra.io.delta.jar!trove4j.jar,3.0.3,GNU Trove,GNU Lesser General Public License 2.1,
com.liferay.petra.json.web.service.client.jar!commons-codec.jar,1.7,Commons Codec,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!httpasyncclient.jar,4.1.3,HttpComponents Apache HttpAsyncClient,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!httpclient.jar,4.5.3,HttpComponents Apache HttpClient,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!httpcore-nio.jar,4.4.6,HttpComponents Apache HttpCore NIO,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!httpcore.jar,4.4.6,HttpComponents Apache HttpCore,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!jackson-annotations.jar,2.9.9,Jackson-annotations,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!jackson-core.jar,2.9.9,Jackson-core,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!jackson-databind.jar,2.9.9.1,jackson-databind,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!signpost-commonshttp4.jar,1.2.1.2,signpost-commonshttp4,"The Apache Software License, Version 2.0",
com.liferay.petra.json.web.service.client.jar!signpost-core.jar,1.2.1.2,signpost-core,"The Apache Software License, Version 2.0",
com.liferay.polls.web.jar!jcommon.jar,1.0.16,jcommon,GNU Lesser General Public Licence,
com.liferay.polls.web.jar!jfreechart.jar,1.0.13,jfreechart,GNU Lesser General Public Licence,
com.liferay.portal.cluster.multiple.jar!jgroups.jar,3.6.16.Final,JGroups,"Apache License, Version 2.0",
com.liferay.portal.mobile.device.detection.fiftyonedegrees.jar!commons-io.jar,1.4,Apache Commons IO Bundle,"The Apache Software License, Version 2.0",
com.liferay.portal.mobile.device.detection.fiftyonedegrees.jar!device-detection-core.jar,3.2.14.2,com.51degrees:device-detection-core,"Mozilla Public License, Version 2.0",
com.liferay.portal.odata.impl.jar!jackson-databind.jar,2.9.9.1,jackson-databind,"The Apache Software License, Version 2.0",
com.liferay.portal.odata.impl.jar!odata-commons-api.jar,4.4.0,odata-commons-api,"The Apache Software License, Version 2.0",
com.liferay.portal.odata.impl.jar!odata-commons-core.jar,4.4.0,odata-commons-core,"The Apache Software License, Version 2.0",
com.liferay.portal.odata.impl.jar!odata-server-api.jar,4.4.0,odata-server-api,"The Apache Software License, Version 2.0",
com.liferay.portal.odata.impl.jar!odata-server-core-ext.jar,4.4.0,odata-server-core-ext,"The Apache Software License, Version 2.0",
com.liferay.portal.odata.impl.jar!odata-server-core.jar,4.4.0,odata-server-core,"The Apache Software License, Version 2.0",
com.liferay.portal.osgi.web.servlet.jsp.compiler.jar!javax.servlet.jsp.jar,2.3.3-b02.LIFERAY-PATCHED-9,JSP implementation,LGPL 2.1,
com.liferay.portal.osgi.web.servlet.jsp.compiler.jar!javax.servlet.jsp.jstl.jar,1.2.3,JavaServer Pages (TM) TagLib Implementation,CDDL + GPLv2 with classpath exception,
com.liferay.portal.osgi.web.wab.extender.jar!javax.servlet.jsp.jar,2.3.3-b02.LIFERAY-PATCHED-9,JSP implementation,LGPL 2.1,
com.liferay.portal.remote.axis.extender.jar!org.apache.axis.jar,1.4.LIFERAY-PATCHED-4,org.apache.axis,LGPL 2.1,
com.liferay.portal.remote.jaxrs.whiteboard.jar!cxf-core.jar,3.2.5,Apache CXF Core,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.jaxrs.whiteboard.jar!cxf-rt-bindings-soap.jar,3.2.5,Apache CXF Runtime SOAP Binding,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.jaxrs.whiteboard.jar!cxf-rt-bindings-xml.jar,3.2.5,Apache CXF Runtime XML Binding,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.jaxrs.whiteboard.jar!cxf-rt-databinding-jaxb.jar,3.2.5,Apache CXF Runtime JAXB DataBinding,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.jaxrs.whiteboard.jar!cxf-rt-wsdl.jar,3.2.5,Apache CXF Runtime Core for WSDL,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.jaxrs.whiteboard.jar!cxf-tools-validator.jar,3.2.5,Apache CXF Command Line Tools Validator,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.jaxrs.whiteboard.jar!wsdl4j.jar,1.6.3,WSDL4J,CPL,
com.liferay.portal.remote.soap.extender.impl.jar!cxf-rt-frontend-jaxws.jar,3.2.5,Apache CXF Runtime JAX-WS Frontend,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.soap.extender.impl.jar!cxf-rt-frontend-simple.jar,3.2.5,Apache CXF Runtime Simple Frontend,"The Apache Software License, Version 2.0",
com.liferay.portal.remote.soap.extender.impl.jar!cxf-rt-ws-policy.jar,3.2.5,Apache CXF Runtime WS Policy,"The Apache Software License, Version 2.0",
com.liferay.portal.scheduler.quartz.jar!quartz.jar,2.1.7,Quartz Enterprise Job Scheduler,Apache 2.0,
com.liferay.portal.scripting.beanshell.jar!bsh.jar,2.0b6,BeanShell,"Apache License, Version 2.0",
com.liferay.portal.scripting.groovy.jar!groovy.jar,2.4.5,Groovy Runtime,"The Apache Software License, Version 2.0",
com.liferay.portal.scripting.javascript.jar!rhino.jar,1.7R4,Mozilla Rhino 1.7R4,"Mozilla Public License, Version 2.0",
com.liferay.portal.scripting.python.jar!jython-standalone.jar,2.5.3,Jython,Jython Software License,
com.liferay.portal.scripting.ruby.jar!jruby-complete.jar,1.7.20.1,JRuby 1.7.20.1,"http://www.gnu.org/licenses/gpl-3.0-standalone.html, http://www.gnu.org/licenses/lgpl-3.0-standalone.html, http://www.eclipse.org/legal/epl-v10.html",
com.liferay.portal.search.elasticsearch6.impl.jar!antlr-runtime.jar,3.5,ANTLR 3 Runtime,BSD licence,
com.liferay.portal.search.elasticsearch6.impl.jar!bcpg-jdk15on.jar,1.59,Bouncy Castle OpenPGP API,Bouncy Castle Licence,
com.liferay.portal.search.elasticsearch6.impl.jar!bcpkix-jdk15on.jar,1.59,"Bouncy Castle PKIX, CMS, EAC, TSP, PKCS, OCSP, CMP, and CRMF APIs",Bouncy Castle Licence,
